time,playerPositionX,playerPositionZ,playerRotation,rewardAmount,painBodyPart,painBodySource
0.5062103,-7.899306E-08,1.311247,0,0,00,000
0.5123901,-8.286298E-08,1.371012,0,0,00,000
0.51828,-8.655315E-08,1.432576,0,0,00,000
0.524292,-8.990959E-08,1.492741,0,0,00,000
0.5308228,-9.316578E-08,1.555439,0,0,00,000
0.5363922,-9.65213E-08,1.625168,0,0,00,000
0.5423737,-9.925651E-08,1.685733,0,0,00,000
0.5488586,-1.020525E-07,1.751937,0,0,00,000
0.5546112,-1.049283E-07,1.825088,0,0,00,000
0.5607452,-1.073616E-07,1.890957,0,0,00,000
0.5667267,-1.098266E-07,1.9622,0,0,00,000
0.5728302,-1.121139E-07,2.032589,0,0,00,000
0.5793457,-1.143357E-07,2.105435,0,0,00,000
0.5851135,-1.165858E-07,2.184309,0,0,00,000
0.5911255,3.009844E-06,2.254768,0.0003926991,0,00,000
0.5976563,1.293255E-05,2.329114,0.0007853981,0,00,000
0.6031799,3.917826E-05,2.410663,0.001570796,0,00,000
0.6092682,7.476028E-05,2.48027,0.001963494,0,00,000
0.6153717,0.0001365367,2.557744,0.002748891,0,00,000
0.6213684,0.0002270293,2.636088,0.003534284,0,00,000
0.6275024,0.0003491332,2.713779,0.004319677,0,00,000
0.6335602,0.0005137516,2.793736,0.005105067,0,00,000
0.6398315,0.0007203208,2.87329,0.005890453,0,00,000
0.6457214,0.0009866252,2.95629,0.006675836,0,00,000
0.6517029,0.001290499,3.034762,0.007853902,0,00,000
0.6576843,0.001661847,3.114913,0.009031957,0,00,000
0.6637878,0.00209963,3.195499,0.009817321,0,00,000
0.6699677,0.002623244,3.278239,0.01099535,0,00,000
0.6761932,0.003238889,3.362455,0.01217337,0,00,000
0.6819458,0.003954746,3.447569,0.01374404,0,00,000
0.6881714,0.004711322,3.52666,0.01570732,0,00,000
0.6941681,0.005650153,3.612647,0.0172779,0,00,000
0.6999207,0.00666435,3.695866,0.01767054,0,00,000
0.7059784,0.007730878,3.775849,0.01767054,0,00,000
0.7123108,0.008954765,3.860379,0.01767054,0,00,000
0.7181549,0.01034469,3.949179,0.01806318,0,00,000
0.7241821,0.01171644,4.031448,0.01806318,0,00,000
